נוסח ההודעה,שם הקמפיין,תאריך יצירה,תאריך שליחה,מקור השליחה,כמות שנשלחו בניכוי חסומים,כמות שלא התקבלו,כמות שהקליקו,אחוז הקלקות,כמות הסרות,אחוז הסרות,הכנסה כוללת מהקמפיין,סך עסקאות,ממוצע הכנסה מעסקה
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - גרפ,31/03/2026 08:52,31/03/2026 08:52,מסך שליחת ההודעות,304,0,32,11,2,1,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - מפקדת מחוז חיפה,31/03/2026 08:50,31/03/2026 08:50,מסך שליחת ההודעות,267,1,44,16,1,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - גדוד 837,31/03/2026 08:48,31/03/2026 08:48,מסך שליחת ההודעות,273,1,35,13,0,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - גדוד 335,31/03/2026 08:47,31/03/2026 08:47,מסך שליחת ההודעות,262,0,34,13,1,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - גדוד 5703,31/03/2026 08:45,31/03/2026 08:45,מסך שליחת ההודעות,255,1,26,10,0,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - גדוד 7660,31/03/2026 08:44,31/03/2026 08:44,מסך שליחת ההודעות,239,2,32,13,1,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - גלמר,31/03/2026 08:43,31/03/2026 08:43,מסך שליחת ההודעות,167,0,18,11,0,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - נפת חוף,31/03/2026 08:41,31/03/2026 08:41,מסך שליחת ההודעות,116,0,20,17,0,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - נפת עמקים,31/03/2026 08:40,31/03/2026 08:40,מסך שליחת ההודעות,115,0,20,17,0,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - נפת גדור,31/03/2026 08:39,31/03/2026 08:39,מסך שליחת ההודעות,112,1,21,19,0,0,,,0
"מילואימניק/ית יקר/ה,
פסח בפתח ומרכז חוסן ""מגנים על העורף"" מחוז חיפה מצדיע לך!
רוצים להוקיר תודה לילדים, לצוותי החינוך או למעסיקים שתומכים בכם?
מלאו פרטים ואנחנו נשלח להם הוקרה בשמכם.

לינק: https://l5k.me/cRP9Y_#phnx

חג שמח ושקט!
להסרה https://l5k.me/bFfZn_#phnx",ניהול אגרות פסח 2026 - נפת מפרץ,31/03/2026 08:38,31/03/2026 08:38,מסך שליחת ההודעות,107,0,13,12,0,0,,,0
